"id","word","part_of_speech","def","example_sentence1","example_translation1","DetailedDefinition"
52,"typically","adv.","典型地","The boss is typically testy today.","今天老闆還是一如既往的暴躁。",""
53,"survival","n.","生存；存活","Survival in the Antarctic is very difficult.","在南極要生存非常困難。",""
54,"plan","n.","平面圖；格局圖","The renovation of the building was difficult because the original plan was missing.","整修大樓的工作很困難，因為原始的設計圖遺失了。",""
55,"gap","n.","空格","Please fill in the gaps with your name and address.","請在空格內填入你的姓名和地址。",""
56,"significant","a.","明顯的；重要的","There's a significant statistical error in your report.","你的報告裡面有個重大的統計數字錯誤。",""
57,"precede","vt.","在…之前發生","The shower was preceded by loud thunder and lightning.","陣雨之前是響雷與閃電。",""
58,"highlight","vt.","強調","The teacher highlighted the importance of attendance in our final grades.","老師強調出席率對我們期末成績的重要性。",""
59,"indefinitely","adv.","期限未定地","The restaurant will be closed indefinitely.","這家餐廳將無期限停業。",""
60,"imperfect","a.","不完美的","The little boy drew an imperfect circle on the paper.","這小男孩在紙上畫了一個不完美的圓。",""
61,"admire","vt.","欽佩；讚美","Mother Teresa was admired by many people.","泰瑞莎修女受到許多人的欽佩。",""
62,"be inclined to ","","傾向","The manager was inclined to reject John's proposal.","經理傾向退回約翰的提案。",""
63,"incline","n.","坡度；斜度","The sheep are grazing on the meadow with a gentle incline.","羊群正在一塊緩坡上吃草。",""
64,"circumstance","n.","情況；狀況","Under no circumstances will I go to the prom the Jane.","我打死都不會跟珍一起去舞會。",""
65,"individual","a.","個人的","Individual freedom is the basis of democracy.","個人自由是民主的基石。",""
66,"absolutely","adv.","絕對地","I will absolutely take a day off tomarrow.","我明天鐵定要休假一天。",""
67,"have access to …","","可得到…；可進入…","Peter no longer has access to the building now that he has left the company.","彼得離開公司後就無法進入大樓了。",""
68,"context","n.","前後文","I find it hard to interpret statements taken out of context.","我很難去解釋被斷章取義的陳述。",""
69,"candidate","n. ","候選人；考生","The examiner will ask the candidate a number of questions in the speaking test.","考官將在口說測驗中問考生好幾個問題。",""
70,"disapproval","n.","不贊成","Hank decided to pursue a musical career despite his parents' disapproval.","漢克決定不顧父母的反對追求音樂事業。",""
71,"cue","n.","提示","I will whistle as a cue for everyone to sing ""Happy Birthday"".","我會吹口哨提示大家開始唱「生日快樂」歌。",""
72,"determine","vt.","決定；判定","Pete has determined to get a job after secondary school rather than go to college.","彼得決定中學畢業後不去念大學而是直接去工作。",""
73,"reflect","vt.","反映","Sarah's vinyl collection reflects her good musical taste.","莎拉黑膠唱片收藏反映了她的音樂好品味。",""
74,"gist","n.","要點；主旨","You should scan the article first to get the gist of it.","你應該先掃描文章來了解一下它的重點",""
75,"proceed","vi","繼續進行；前進","After a drink of water, the speaker proceeded with her speech.","演講人喝一口水後繼續她的演說。",""
76,"cater for …","","為…提供服務","The English school caters for adults and children alike.","這家英語學校同時提供成人與兒童英語課程。",""
77,"beneficial","a.","有益的","It is said vegetable is particularly beneficial for our stomach.","聽說這種蔬菜格外顧胃。",""
78,"partially","adv.","部分地","This company partially belongs to my uncle.","這家公司有一部份是我叔叔的。",""
79,"intently","adv.","專注地","Daniel listened intently to the teacher's lecture.","丹尼爾專注地聽著老師講課。",""
80,"separately","adv.","各自地","These two issues should be dealt with separately.","這兩個問題應該被分開處理。",""
81,"interrupt","vt.","打斷；打擾","Please don't interrupt our conversation.","請勿打斷我們的話。",""
82,"delighted","a.","歡樂的","The basketball team were delighted after winning the game.","籃球隊在比賽贏球後相當高興。",""
83,"round off ","","結束","The band rounded off their tour in Wembley Stadium.","這樂團在溫布利球場進行巡迴演唱的最終演出。",""
84,"thrilled","a.","興奮的","The kids were thrilled when they found out they would spend the holiday in Disneyland.","孩子們知道要去迪士尼樂園度假後興奮得不得了。",""
85,"version","n.","版本","The Japanese language version of the novel receives bad reviews due to a poor translation.","這本小說的日語版本由於翻譯不佳得到差評。",""
86,"approximately","adv.","大約","The population of Taiwan is approximately 23 million.","台灣的人口大約是兩千三百萬。",""
87,"heading","n.","小標題","There are five headings for each of the five paragraphs.","五個段落各有一個小標題。",""
88,"adhere to …","","固守…；支持…,","Christopher is a persion who always adheres to his principles.","克里斯多福是一個永遠固守原則的人。",""
89,"paraphrase","vt.","改寫；改述","In IELTS writing tests, candidates are required to paraphrase the expressions used in the questions instead of copying them.","再雅思寫作測試中，考生會被要求改寫題目中的用詞與語句，而非照抄。",""
90,"subject matter","","主題","I finished reading the article but still didn't know exactly what the subject matter was.","我看完了這篇文章，但仍不知道主題到底是什麼。",""
91,"alter","vi. & vt.","改變","Benny's plans altered when it started pouring with rain.","當開始下起傾盆大雨，班尼改變計畫。",""
92,"lay out","","列出","Irene laid out her collection of brooches for her friends to look at.","艾琳把她的胸針收藏排列出來給朋友們看。",""
93,"concise","a.","簡潔的","The essays Howard wrote were concise and inspiring.","霍華寫得短篇文章精簡而具有啟發性。",""
94,"represent","vt.","代表","The lawyer said he represented the murder suspect.","這律師說他代表那個殺人嫌犯。",""
95,"officially","adv.","正式地；官方地","The power couple's marriage was officially over.","這對名人夫婦的婚姻正式畫下句點。",""
96,"credibility","n.","可信度","The prosecutor questioned the credibility of the witness.","檢察官質疑那位證人的可信度。",""
97,"aspect","n.","（事物的）方面、層面","There is one aspect of the plan that I don't understand.","這計畫有一個方面我不太理解。",""
98,"proximity","n.","靠近（不可數）","The rent for this flat is more expensive because of its proximity to the college.","這公寓的租金比較貴，因為靠近大學。",""
99,"criticise","vt.","批評","The government was severely criticised for its new tax regulations.","政府的新稅制度遭受嚴重批評。",""
100,"constrained","a.","受限的","That is all I can do with a constrained budget.","由於預算有限，我只能做到這樣。",""
101,"theme","n.","主題","The main theme of the movie is how to deal with grief.","這電影的主題是如何處理悲傷。",""
102,"enhance","vt.","加強；強化","The use of garlic enhanced the dish's flavour.","用了大蒜後菜的香氣大增。",""
103,"satisfaction","n.","滿意；滿足","Vince can't get satisfaction out of his job.","文斯無法從工作中得到滿足。",""
104,"intimidating","a.","令人生畏的","The 200-pound, six-foot-two boxer looks intimidating.","這位體重兩百磅、身高六尺二寸的拳擊手看起來有點嚇人。",""
105,"prevent","vt.","預防","We must prevent the infectious disease from spreading.","我們一定要預防這種傳染病蔓延開來。",""
106,"boost","vt.","促進；提升","The store owner believed the sale could boost sales by 30%.","店老闆相信這波特價苦以提升銷量達三成。",""
107,"potentially","adv.","潛在的；可能地","Even jogging is potentially dangerous to our health if not done correctly.","如果沒有做對，就連慢跑都有可能傷害我們的健康。",""
108,"adaptation","n.","改編；適應","This movie is an adaptation of a best-selling novel.","這部電影是由暢銷小說改編。",""
109,"reassuring","a.","令人安心的","It is reassuring to know that Andy will lead the project.","我知道是安迪來當專案負責人後就放心了。",""
110,"destiny","n.","命運；天意","Ted thinks it's his destiny to become a painter.","泰德覺得他注定要當畫家。",""
111,"duplicate","vt.","複製","The Wimbledon champion couldn't duplicate her achievement the following year. ","這位溫布頓冠軍在接下來的一年沒法複製她的成就。",""
112,"respectively","adv.","各自地","John's three sons, Chris, Lee, and Ryan, are 15, 12, and 9, respectively.","約翰的三個兒子，克里斯、李和萊恩，分別是十五、十二與九歲。",""
113,"revert to …","","回復到…","The speaker reverted to unemployment issues near the end of his speech.","演講人在演講快結束時又回過頭將失業課題。",""
114,"grant","vt.","給予","The government decided to grant the defector political asylum.","政府決定給予那位投奔自由者政治庇護。",""
115,"granted","conj","假設；就算","Granted that you were right, it was not wise to confront your boss in public.","就算你是對的，公開與你老闆對槓也不是明智之舉。",""
116,"in conjunction with","","與…一起","The government announced a tax cut in conjunction with an interest rate reduction.","政府宣布減稅時同時降息。",""
117,"concurrently","adv.","同時期地","The actress is filming two movie projects concurrently.","這位女演員同時接演兩部戲。",""
118,"accelerate","vi.","加速","The driver accelerated, trying to beat the amber light.","駕駛加速想搶黃燈。",""
119,"gloomy","a.","憂鬱的","Penny has been gloomy since she broke up with Gray.","佩妮與蓋瑞分手後就一直很憂鬱。",""
120,"trigger","vt.","觸發","The riot was triggered by a policeman beating a man on the street.","警察在接毆打一名男子引發暴動。",""
121,"absorb","vt.","吸收","Use this sponge to absorb the water on the table.","用這塊海綿來吸餐桌上的水。",""
122,"frightening","a.","可怕的；恐怖的","The movie was so frightening that I kept my eyes closed half of the time.","這電影太恐怖了，我有一半時間都不敢張開眼睛看。",""
123,"persistent","a.","堅持的；持續的","There have been persistent rumors about the president's health for a number of years.","多年來他們持續謠傳總統的健康狀況。",""
124,"outright","adv.","直接了當地","Sandy said no to Adam's marriage proposal outright.","珊蒂當場拒絕亞當的求婚。",""
125,"unprecedented","a.","前所未有的","The area was hit by an unprecedented flood.","這地區遭受前所未有的洪水攻擊。",""
126,"lamentable","a.","可悲的；糟糕的","The team's performance in the match was lamentable.","這支球隊在比賽中的表現令人失望。",""
127,"thereby","adv.","藉此","Tom helped Rita with her homework, thereby getting the chance to meet her younger sister.","湯姆幫助麗塔做作業，藉此得到認識她妹妹的機會。",""
128,"wreak havoc","","造成重大破壞","The typhoon wreaked havoc on the small island.","颱風對這座小島造成重大破壞。",""
129,"erratic","a.","喜怒無常的","The president's erratic behaviour is often criticised by his enemies.","總統喜怒無常的行為常被政敵批評。",""
130,"dispute","n.","爭論","The two countries' trade dispute has lasted a year and a half.","兩國的貿易爭端已經持續了一年半。",""
131,"obligation","n.","責任；義務","Netflix's subscribers have an obligation to pay the monthly fee.","網飛的訂戶有義務繳月費。",""
132,"disruptive","a.","擾亂的","The company's price war against its main competitor is disruptive to the market stability.","此公司對主要競爭對手展開價格戰，擾亂了市場的穩定。",""
133,"exhilarating","a.","令人興奮的","The news that my son won the speech contest was exhilarating.","我兒子贏了演講比賽的消息真是讓我太高興了。",""
134,"appetite","n.","食慾","Eating snacks will spoil your appetite for dinner.","吃零食會讓你沒胃口吃飯。",""
135,"primary","a.","主要的；最初的","The new government's primary concern is inflation.","新政府的主要關切是通膨。",""
136,"accumulation","n.","累積","For a salaryman, accumulation of wealth is slow but steady.","薪水階級累積財富是緩慢但穩定的。",""
137,"explosion","n.","爆炸","The bomb explosion killed several soldiers and civilians.","這個炸彈爆炸造成數名士兵與平民死亡。",""
138,"constant","a.","持續的","patty is tired of her husband's constant complaints.","派蒂受夠了老公不斷的唸叨。",""
139,"accordingly","adv.","因此","The concert tickets are in high demand and priced accordingly.","演唱會門票的需求很大，價格也相應上漲。",""
140,"consent","n.","同意","We need your written consent to access your insurance document.","我們需要你的書面同意來取得你的保險文件。",""
141,"prejudice","n.","偏見","Prejudice against females is common in some workplaces.","職場裡對女性的偏見很普遍。",""
142,"in excess of","","超過","The Hendersons spent in excess of ￡50000 decorating their home.","韓德森花超過5萬英鎊來裝潢家裡。",""
143,"be confined to","","受限於","Wanda was confined to a wheelchair due to her injured leg.","汪達由於腿受傷只能坐輪椅。",""
144,"variation","n.","變化","Prices are subject to variation.","價格可能會變動。",""
145,"coupled with","","加上…；與…一起","Ambition, coupled with talent, made John one of the greatest contemporary painters.","抱負加上才能，讓約翰成為最偉大的當代畫家之一。",""
146,"severity","n.","嚴重程度","Several villages were flooded due to the severity of the storm.","暴風雨的嚴重程度導致好幾個村莊遭到淹沒。",""
147,"deteriorate","vi.","惡化","The old man's condition suddenly deteriorated.","這名老人的狀況突然惡化。",""
148,"ultimately","adv.","最終","Penny ultimately agreed to marry Leonard after several proposals.","佩妮在倫納德求婚數次後終於答應嫁給他。",""
149,"constitute","vt.","構成","What you just said constitudes slander.","你剛才說的話已經構成毀謗。",""
150,"attempt","vt.","試圖","Ben attempted to talk Mary into going bungee jumping.","班試圖說服瑪莉去玩高空彈跳。",""
151,"ward off","","避開：防止","Mick lit a mosquito coil to ward off mosquitoes.","米克點燃蚊香驅趕蚊蟲。",""
152,"impose ","vt.","加諸","The government imposed a new tax on luxury goods.","政府對奢侈品開徵新稅。",""
153,"as opposed to","","對比於","You're an angel, as opposed to your brat of a brother.","比起你那個無法無天的弟弟，你已經歲算天使了。",""
154,"incidence","n.","（事情的）發生率","The incidence of burglary in this community is very low.","這個社區發生竊案的機率極低。",""
155,"sheer","a.","純粹的；光是","The sheer thought of talking to the big boss was enough to make me tremble.","光是想到要和大老闆講話就嚇得我全身發抖。",""
156,"drastic","a.","激烈的","The city is planning drastic measures against drug dealing.","市府準備對毒販下猛藥整治。",""
157,"mitigate","vt.","使緩和","The government is trying to mitigate inflation.","政府試圖緩和通膨。",""
158,"dispel","vt.","驅散；消除","The police were trying to dispel the crowd of protesters.","警方試圖驅散抗議民眾。",""
159,"differentiate","vt.","辨別","The little kid couldn't differentiate a puppy from kitten.","這個小朋友無法分辨小狗與小貓。",""
160,"distinguish","vt.","分辨","It is a myth that a red-green colour-blind person can't distinguish red from green.","紅綠色盲的人無法辨別紅色與綠色是一種迷思。",""
161,"scarcely","adv.","幾乎沒有","David scarcely went to the library when he was in college.","大衛在大學時幾乎沒有去過圖書館。",""
162,"oppenent","n.","對手：敵手","The football team beat their long-time opponents in the final.","這支球隊在決賽中擊敗了他們的老對頭。",""
163,"disastrous","a.","慘烈的","The sex scandal was disastrous for the mayor's political career.","這起性醜聞對市長的政治生涯是個大災難。",""
164,"altogether","adv.","總共","You owe me ￡500 altogether.","你總共欠我五百英鎊。",""
165,"intensify","vi.","增強；變激烈","The border conflict between the two countries intensified over the last week.","上個禮拜兩國的邊界衝突加劇。",""
166,"underway","a.","正在進行的","The construction of the children's hospital is already underway.","兒童醫院的興建工程已經在進行了。",""
167,"prevalemce","n.","普及度","The prevalence of depression is higher in adolescents than in other age groups.","青少年族群的憂鬱症普及率高於其他年齡層。",""
168,"infectious","a.","傳染性的","COVID-19 is a highly infectious disease.","新冠肺炎是高度傳染性的疾病。",""
169,"be referred to as","","被稱為","Albert Einstein is referred to as the greatest physicist of the 20th century.","愛因斯坦被稱為是二十世紀最偉大的物理學家。",""
170,"dismiss","vt.","解散","The class was dismissed at four o'clock.","四點下課了。",""
171,"adjoining","a.","連接在一起的","The two families reserved adjoining rooms in the beach hotel.","兩家人在海灘飯店訂了相連接的兩個房間。",""
172,"ecstatic","a.","狂喜的","Don was ecstatic when he found out that he had gained admission to Oxford University.","唐知道自己錄取牛津大學後樂翻天了。",""
173,"enlightened","a.","開明的；有知識的","I expected Rachel to give me an enlightened answer, but she didn't.","我本預期瑞秋會給我一個通曉事理的答案，結果沒有。",""
174,"take … into consideration","","將…列入考慮","We have to take our competitors into consideration when planning our marketing strategies.","我們在規劃行銷策略時需要把競爭對手考慮進去。",""
175,"regarding","prep.","關於；就…而論","The manager is taking questions regarding the football team's poor performance this season.","經理正在接受關於這支球隊本季糟糕表現的提問。",""
176,"gesture","n.","肢體動作；姿態","Tom speaks with lots of gestures.","湯姆講話時動作很多。",""
177,"incorporate","vt.","納入；合併","Quincy's idea was incorporated in the plan.","昆西的點子被納入計畫當中。",""
178,"take … for granted","","將…視為理所當然","We should not take our parent's love for granted.","我們不該將父母的愛視為理所當然。",""
179,"company","n.","陪伴","Please keep me company until my mum comes home.","請陪者我等我媽回來。",""
180,"anniversary","n.","周年","The department store is having an anniversary sale.","這家百貨公司正在舉辦周年慶特賣。",""
181,"with walking distance","","走路可到的","A big department store is within walking distance of my house.","從我家走路就可以到一家大型百貨公司。",""
182,"necessity","n.","需要","Necessity is the mother of invention.","需求為發明之母。",""
183,"consternation","n.","錯愕","To his parent's consternation, Billy said he wouldn't go to college.","比利說他不要上大學，令他父母錯愕不已。",""
184,"exacerbate","vt.","使惡化","The economic troubles were exacerbated by the pandemic.","經濟問題由於疫情更加惡化。",""
185,"an obsession with","","執迷於","Tommy has an obsession with owning his own business, although he has failed several times.","湯米執迷於自己開公司，雖然他已經失敗好幾次。",""
186,"span","vt.","跨越（時間、距離）","The history of this ancient empire spanned over 1000 years.","這個古帝國的歷史跨越一千多年。",""
187,"come to pass","","發生","Chuck couldn't remember how the accident came to pass.","查克記不得那個意外是如何發生的。",""
188,"vice versa","","反之亦然","John hates Mary, and vice versa.","約翰討厭瑪莉，瑪莉也討厭約翰。",""
189,"relief","n.","救濟","The neighbouring countries's relief efforts are already underway.","鄰國的救濟行動已經展開。",""
190,"be dedicaed to","","獻給","The singer said the song was dedicated to the newlyweds.","歌手說這首歌要獻給這對新婚夫婦。",""
191,"appeal","vi.","吸引","This movie appeals to teenagers.","這部電影吸引青少年。",""
192,"elderly","a.","年老的","In this country, the elderly are generally respected.","在這個國家，老人整體上來說是受尊敬的。",""
193,"unspoilt","a.","未受破壞的","Fortunately, the rainforests in this region are unspoilt.","好在這個區域的雨林並未受到破壞。",""
194,"be absorbed in","","全心投入的","Jerry was so absorbed in his smartphone that he missed the bus.","傑瑞看手機出了神，以至於錯過公車。",""
195,"respectable","a","值得尊敬的","Susan is a lovely young woman who comes from a respectable family.","蘇珊是一個出生名門，年輕又貌美的女子。",""
196,"affection","n.","愛","Willie has great affection for his hometown.","威利非常愛他的家鄉。",""
197,"misconception","n.","錯誤觀念","Many people have misconceptions about coffee.","許多人對咖啡有錯誤觀念。",""
198,"irrespective of","","無論","Everyone must obey the law irrespective of their social status.","每個人無論其社會地位如何都必須守法。",""
199,"aspiration","n.","企圖心","Ted has an aspiration to become a rock guitarist.","泰德很想成為搖滾吉他手。",""
200,"interaction","n.","互動","Smartphones are often blamed for the decline in real-life human-to-human interaction.","智慧型手機常被歸咎為現實生活中人際互動減少的原因。",""
201,"convert","vt.","改變","The song recording was converted from analogue to digital.","這首歌的錄音從類比被轉換到數位格式。",""
202,"priviledge","n.","特權","Sam was given the priviledge of recruiting anyone in the company into his team.","山姆被賦予可徵招公司內任何人到他的團隊裡的特權。",""
203,"restrict","vt.","限制","What a candidate can bring into the exam room is restricted.","考生能帶進考場的事物是有限制的。",""
204,"secure","vt.","確定取得","The swimmer secured her place on the Olympic team after the tryout yesterday.","這位游泳選手在昨天的選拔賽後確定取得奧運代表隊的席位。",""
205,"flexible","a.","有彈性的","A garden hose is made of rubber and is flexible.","澆花的水管是橡膠材質，有彈性。",""
206,"intimate","a.","親密的","Chandra had an intimate conversation with her BFF.","錢德拉跟她的閨蜜有一段施蜜對談。",""
207,"be keen on V-ing","","很想做…","Roger is not keen on going to parties.","羅傑不是很喜歡參加派對。",""
208,"extraordinary","a.","非凡的","That achievement was extraordinary.","那項成就真是非凡。",""
209,"futuristic","a.","未來感的","The electric-powered car has a very futuristic look.","這台電動車的外觀非常有未來感。",""
210,"a mobile device","","行動裝置","Being a tech buff, Roger has all kinds of mobile divices.","身為一個科技迷，羅傑擁有各種行動裝置。",""
211,"peculiar","a.","奇特的；奇怪的","Diane speaks with a peculiar accent, and no one can guess where she's from.","黛安講話的口音很奇特，沒人猜得出她的籍貫。",""
212,"desperate","a.","走投無路的；迫切的","The man said he robbed the convenience store because he was desperate.","這男子說他搶超商是因為已經走投無路。",""
213,"gadget","n.","（科技）小玩意","Gadgets like drones are all the rage right now.","現在最紅的科技小玩意是無人機。",""
214,"foundation","n.","基礎；基金會","Math is the foundation of many applied sciences.","數學是許多應用科學的基礎。",""
215,"be characterised by","","具有…的特徵","Apple products are characterised by their sleek design.","蘋果產品的特色是光滑、流線的設計風格。",""
216,"voluntarily ","adv.","自願地","I did this voluntarily. No one forced me.","我自願做這事的。沒有人強迫我。",""
217,"barrier","n.","阻礙；障礙","Protectionism is the major barrier to free trade.","保護主義是自由貿易的最大障礙。",""
218,"staggering","a.","嚇人的","The number of confirmed cases was staggering.","確診人數相當嚇人。",""
219,"predominantly","adv.","主要地；佔多數地","The students in this college are predominantly Welsh.","這所大學的學生大多數是威爾斯人。",""
220,"presumably","adv.","據推測","Today's speaker, presumably a doctor, will talk about skin cancer.","今天的演講人——應該是位醫生，將要談皮膚癌。",""
221,"temporarily","adv.","暫時地；臨時地","The gymnasium is temporarily closed for repairs.","體育館因整修內部暫停開放。",""
222,"degradation","n.","劣化；退化","Land degradation is a serious global issue.","土地劣化是一個嚴重的全球性問題。",""
223,"installation","n.","安裝","The installation of the stereo system took an hour.","安裝這音響系統花了一小時。",""
224,"correlate with","","與…有關聯","Good marks correlate with the effort you put in your schoolwork.","好成績與你對學業的努力程度有關。",""
225,"association","n.","聯想","Association is a good way to memorise English vocabulary.","聯想法式背英文字彙的好方法之一。",""
226,"stem from","","來自…","Joey's problems stem from laziness.","喬伊的問題來自懶惰。",""
227,"subsequent","a.","接下來的","The actor's career declined in the subsequent years.","這演員的事業在接下來的年頭裡逐漸下滑。",""
228,"universal","a.","普遍的；普世的","Sibling rivalry is a universal issue.","手足間的競爭是一個普世問題。",""
229,"concrete","a.","具體的；實在的","The case was dismissed because the prosecutor couldn't present concrete evidence.","這案件由於檢察官無法提出具體的證據而被撤銷。",""
230,"fine-tune","vt.","微調","The government fine-tuned the economy by slightly cutting the interest rate.","政府藉由降利息來微調經濟。",""
231,"frequently","adv.","經常","Gray goes to that corner coffee shop frequently.","蓋瑞經常去街角那家咖啡館。",""
232,"sustainability","n.","永續性","Sustainability is the buzz word in modern-day politics, although few people can define it.","永續性是當代政治圈的關鍵字，雖然沒有幾個人可以解釋它。",""
233,"evidence","n.","證據","The police claim to hold key evidence in the murder case.","警方宣稱握有此謀殺案的關鍵證據。",""
234,"cease to","","停止","May's boyfriend never ceases to amaze her.","梅的男友永遠都讓她大開眼界。",""
235,"exceed","vt.","超越","What you've achieved has already exceeded our expectations.","你所成就的已經超越了我們的期待。",""
236,"implement","vt.","執行","We need more money to implement this project.","我們需要更多經費才能執行此專案。",""
237,"curiosity","n.","奇珍異寶；好奇心","The kids were amazed by everything they saw in the curiosity shop.","孩子們在珍寶店舖裡看到的所有東西都令他們驚嘆不已。",""
238,"appreciate","vt.","感激","We really appreciate what you've done for us.","我們真心感激您為我們所做的事情。",""
239,"instance","n.","情況；例子","Don't compromise in any instance.","任何情況下都不能妥協。",""
