word,part_of_speech,definition,example_sentence1,example_translation1
diminish,vi.,縮減,Interest in the daily infection figures has diminished over time.,人們對於每日感染數字的關注逐漸減弱。
reinforce,vt.,加強,The school tried to reinforce campus safety by adding more security guards.,學校加派警衛希望能加強學校安全。
celebrate,vt.,慶祝,The country is celebrating its 100th national day.,這個國家正在慶祝建國一百年。
celebrated,a.,有名的,"The movie is directed by the celebrated, award-winning director.",這部電影是由一位知名且獲獎過的導演所執導。
kilometer,n.,公里,Elsa jogs five kilometers every day.,艾莎每天慢跑五公里。
dominate,vt.,稱霸,This company used to dominate the memory chip industry.,這家公司曾經稱霸記憶體晶片產業。
typically,adv.,典型地,The boss is typically testy today.,今天老闆還是一如既往的暴躁。
survival,n.,生存；存活,Survival in the Antarctic is very difficult.,在南極要生存非常困難。
plan,n.,平面圖；格局圖,The renovation of the building was difficult because the original plan was missing.,整修大樓的工作很困難，因為原始的設計圖遺失了。
gap,n.,空格,Please fill in the gaps with your name and address.,請在空格內填入你的姓名和地址。
significant,a.,明顯的；重要的,There's a significant statistical error in your report.,你的報告裡面有個重大的統計數字錯誤。
precede,vt.,在…之前發生,The shower was preceded by loud thunder and lightning.,陣雨之前是響雷與閃電。
highlight,vt.,強調,The teacher highlighted the importance of attendance in our final grades.,老師強調出席率對我們期末成績的重要性。
indefinitely,adv.,期限未定地,The restaurant will be closed indefinitely,這家餐廳將無期限停業。
imperfect,a.,不完美的,The little biy drew an imperfect circle on the paper.,這小男孩在紙上畫了一個不完美的圓。
admire,vt.,欽佩；讚美,Mother Teresa was admired by many people.,泰瑞莎修女受到許多人的欽佩。
be inclined to ,,傾向,The manager was inclined to reject John's proposal.,經理傾向退回約翰的提案。
incline,n.,坡度；斜度,The sheep are grazing on the meadow with a gentle incline.,羊群正在一塊緩坡上吃草。
circumstance,n.,情況；狀況,Under no circumstances will I go to the prom the Jane.,我打死都不會跟珍一起去舞會。
individual,a.,個人的,Individual freedom is the basis of democracy.,個人自由是民主的基石。
absolutely,adv.,絕對地,I will absolutely take a day off tomarrow.,我明天鐵定要休假一天。
have access to …,,可得到…；可進入…,Peter no longer has access to the building now that he has left the company.,彼得離開公司後就無法進入大樓了。
context,n.,前後文,I find it hard to interpret statements taken out of context.,我很難去解釋被斷章取義的陳述。
candidate,n. ,候選人；考生,The examiner will ask the candidate a number of questions in the speaking test.,考官將在口說測驗中問考生好幾個問題。
disapproval,n.,不贊成,Hank decided to pursue a musical career despite his parents' disapproval.,漢克決定不顧父母的反對追求音樂事業。
